analysis,region,n,rho,ci_lo,ci_hi,p_raw,published_rho,seed,n_boot,q_bh,delta_vs_published
"B1. Volume-adjusted, full cohort (n=532)",L-Cerebral-WM,532,0.6644233166955531,0.6081443956485735,0.7154135318437999,6.497275046246634e-69,0.668,20260819,10000,4.872956284684976e-68,-0.003576683304446937
"B1. Volume-adjusted, full cohort (n=532)",R-Cerebral-WM,532,0.6736116634977388,0.6179748495899319,0.7232328790978915,1.7786670077297465e-71,0.676,20260819,10000,2.6680005115946196e-70,-0.0023883365022612235
"B1. Volume-adjusted, full cohort (n=532)",Brain-Stem,532,0.5692768820423774,0.5040012274496672,0.6258063254543387,6.179469567365994e-47,0.57,20260819,10000,3.0897347836829973e-46,-0.0007231179576225877
"B2. Volume-adjusted, patients only (n=432)",L-Hippocampus,432,0.4531885527390417,0.37049491439071686,0.5316545285293264,3.232891253651827e-23,0.493,20260820,10000,6.927624114968202e-23,-0.03981144726095831
"B2. Volume-adjusted, patients only (n=432)",R-Hippocampus,432,0.5462351414389439,0.47079557848512643,0.6117176140589109,6.847988436541898e-35,0.534,20260820,10000,2.5679956637032116e-34,0.012235141438943886
"B2. Volume-adjusted, patients only (n=432)",L-Amygdala,432,0.053762815519541964,-0.04267215875171404,0.14906193479524502,0.26540393549186847,0.109,20260820,10000,0.28436135945557334,-0.055237184480458036
"B2. Volume-adjusted, patients only (n=432)",R-Amygdala,432,0.1590122014116196,0.05886954053567808,0.2521546569836374,0.0009240234238910823,0.162,20260820,10000,0.001155029279863853,-0.0029877985883804137
"B2. Volume-adjusted, patients only (n=432)",L-Thalamus,432,0.4763614219769023,0.39709759265558503,0.5483320880538517,8.477566147241779e-26,0.493,20260820,10000,2.1193915368104443e-25,-0.016638578023097705
"B2. Volume-adjusted, patients only (n=432)",R-Thalamus,432,0.49416368049091397,0.4184703209393702,0.5650707900412039,6.413250217761421e-28,0.487,20260820,10000,1.9239750653284263e-27,0.007163680490913982
"B2. Volume-adjusted, patients only (n=432)",L-Caudate,432,-0.06502910231921727,-0.16288300094588887,0.03285443246002151,0.17780469286975648,-0.019,20260820,10000,0.20515926100356519,-0.046029102319217266
"B2. Volume-adjusted, patients only (n=432)",R-Caudate,432,0.02796495610413759,-0.06775630632016641,0.12230050665528666,0.5625926885469777,0.047,20260820,10000,0.5625926885469777,-0.01903504389586241
"B2. Volume-adjusted, patients only (n=432)",L-Putamen,432,0.3806297995216931,0.29450283572884933,0.45697711738050567,2.624868722667823e-16,0.433,20260820,10000,4.374781204446372e-16,-0.05237020047830687
"B2. Volume-adjusted, patients only (n=432)",R-Putamen,432,0.40296700935075486,0.31732449868514934,0.4822220555072463,2.9407565834906803e-18,0.451,20260820,10000,5.5139185940450256e-18,-0.048032990649245155
"B2. Volume-adjusted, patients only (n=432)",L-Pallidum,432,0.16675230326992557,0.07412899609831225,0.25845331160168883,0.0005086055014316932,0.239,20260820,10000,0.0006935529564977634,-0.07224769673007442
"B2. Volume-adjusted, patients only (n=432)",R-Pallidum,432,0.26288819638934063,0.17316207814941412,0.35010628638241675,3.0319012223204926e-08,0.259,20260820,10000,4.547851833480739e-08,0.0038881963893406257
"B2. Volume-adjusted, patients only (n=432)",L-Cerebral-WM,432,0.6560951021095952,0.5916707163435239,0.7121047108200655,2.1231848755516497e-54,0.668,20260820,10000,1.5923886566637372e-53,-0.01190489789040483
"B2. Volume-adjusted, patients only (n=432)",R-Cerebral-WM,432,0.6585534122831104,0.5938731719069422,0.7145985790242347,6.241178605267492e-55,0.676,20260820,10000,9.361767907901238e-54,-0.017446587716889672
"B2. Volume-adjusted, patients only (n=432)",Brain-Stem,432,0.5611898921195331,0.48806821693232544,0.6264232915415566,3.969842770298986e-37,0.57,20260820,10000,1.984921385149493e-36,-0.008810107880466878
